epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,2862.47,0.58921,0.67471,0.86513,0.87199,0.59028,0.6837,0.51809,1.05732,1.70136,0.98759,6.77486e-05,6.77486e-05,6.77486e-05
42,2929.09,0.58914,0.66937,0.86601,0.89115,0.65535,0.74227,0.56417,0.9982,1.42759,0.96536,6.55423e-05,6.55423e-05,6.55423e-05
43,2994.53,0.57667,0.66025,0.86226,0.8478,0.52592,0.62017,0.46563,1.12449,2.04402,1.01331,6.3336e-05,6.3336e-05,6.3336e-05
44,3059.74,0.58432,0.66084,0.86567,0.85125,0.52323,0.62018,0.47996,1.0453,2.06634,0.98336,6.11297e-05,6.11297e-05,6.11297e-05
45,3125.3,0.58023,0.65111,0.86109,0.85104,0.53091,0.62725,0.4804,1.06898,1.99575,0.99585,5.89234e-05,5.89234e-05,5.89234e-05
46,3191.17,0.58174,0.64816,0.86336,0.86992,0.60451,0.69826,0.52504,1.05775,1.63781,0.9887,5.67171e-05,5.67171e-05,5.67171e-05
47,3257.35,0.57874,0.63152,0.86299,0.83879,0.51124,0.60768,0.46729,1.07626,2.14454,0.99818,5.45109e-05,5.45109e-05,5.45109e-05
48,3323.47,0.57106,0.62943,0.86049,0.81179,0.46161,0.55598,0.43439,1.08245,2.40664,1.00661,5.23046e-05,5.23046e-05,5.23046e-05
49,3388.89,0.57794,0.63293,0.86136,0.83885,0.4995,0.59589,0.46679,1.04924,2.15526,0.99104,5.00983e-05,5.00983e-05,5.00983e-05
50,3454.22,0.57612,0.62935,0.86272,0.86061,0.61359,0.70793,0.53142,1.03554,1.62846,0.97768,4.7892e-05,4.7892e-05,4.7892e-05
51,3519.41,0.56849,0.61442,0.85923,0.86403,0.53519,0.6337,0.49386,1.02903,1.93682,0.98062,4.56857e-05,4.56857e-05,4.56857e-05
52,3584.69,0.56933,0.6122,0.86035,0.84639,0.52186,0.61604,0.46993,1.09363,2.07674,1.00541,4.34794e-05,4.34794e-05,4.34794e-05
53,3649.48,0.56519,0.59723,0.85756,0.85717,0.55123,0.64512,0.49651,1.05814,1.87837,0.9902,4.12731e-05,4.12731e-05,4.12731e-05
54,3714.27,0.56121,0.59724,0.85716,0.8468,0.50159,0.59682,0.46471,1.08127,2.14499,1.00448,3.90669e-05,3.90669e-05,3.90669e-05
55,3779.49,0.56346,0.6063,0.86066,0.87538,0.59479,0.68383,0.53097,0.99496,1.68371,0.96761,3.68606e-05,3.68606e-05,3.68606e-05
56,3844.08,0.55753,0.5877,0.85779,0.86436,0.53219,0.62973,0.48418,1.06788,1.99129,0.99567,3.46543e-05,3.46543e-05,3.46543e-05
57,3909.14,0.55316,0.58698,0.8589,0.86348,0.55847,0.65401,0.50449,1.03807,1.86601,0.98291,3.2448e-05,3.2448e-05,3.2448e-05
